neighborhood,reason,count
 ,Cemetery,7.0
 ,Code Enforcement,9.0
 ,Employee & General Comments,278.0
 ,Enforcement & Abandoned Vehicles,17.0
 ,Environmental Services,3.0
 ,Health,1.0
 ,Highway Maintenance,21.0
 ,Housing,5.0
 ,Needle Program,7.0
 ,Office of The Parking Clerk,2.0
 ,Park Maintenance & Safety,101.0
 ,Sanitation,4.0
 ,Signs & Signals,9.0
 ,Street Cleaning,5.0
 ,Street Lights,1.0
 ,Traffic Management & Engineering,3.0
 ,Trees,3.0
Allston,Administrative & General Requests,3.0
Allston,Animal Issues,5.0
Allston,Building,8.0
Allston,Code Enforcement,29.0
Allston,Enforcement & Abandoned Vehicles,20.0
Allston,Environmental Services,1.0
Allston,Graffiti,1.0
Allston,Health,1.0
Allston,Highway Maintenance,13.0
Allston,Housing,17.0
Allston,Park Maintenance & Safety,9.0
Allston,Recycling,2.0
Allston,Sanitation,7.0
Allston,Signs & Signals,3.0
Allston,Street Cleaning,19.0
Allston,Street Lights,2.0
Allston,Trees,1.0
Allston / Brighton,Abandoned Bicycle,6.0
Allston / Brighton,Administrative & General Requests,13.0
Allston / Brighton,Air Pollution Control,2.0
Allston / Brighton,Animal Issues,32.0
Allston / Brighton,Building,86.0
Allston / Brighton,Catchbasin,2.0
Allston / Brighton,Code Enforcement,921.0
Allston / Brighton,Employee & General Comments,3.0
Allston / Brighton,Enforcement & Abandoned Vehicles,1065.0
Allston / Brighton,Environmental Services,59.0
Allston / Brighton,Fire Hydrant,1.0
Allston / Brighton,Generic Noise Disturbance,1.0
Allston / Brighton,Graffiti,6.0
Allston / Brighton,Health,15.0
Allston / Brighton,Highway Maintenance,295.0
Allston / Brighton,Housing,120.0
Allston / Brighton,Needle Program,19.0
Allston / Brighton,Notification,4.0
Allston / Brighton,Park Maintenance & Safety,25.0
Allston / Brighton,Parking Complaints,2.0
Allston / Brighton,Pothole,2.0
Allston / Brighton,Programs,3.0
Allston / Brighton,Recycling,154.0
